Date,State_FIPS,Administered_Doses_65Plus_Daily,Series_Complete_65Plus_Daily,Booster_Doses_18Plus_Daily,Series_Complete_18Plus_Daily,Administered_Doses_18Plus_Daily,Census2019_18PlusPop,Deaths,Confirmed,Province_State,FIPS,Lat,Long_
2021-05-05,10,329.0,535.0,0.0,4538.0,2437.0,770192.0,2,197,Delaware,10,39.3185,-75.5071
2021-05-05,11,119.0,176.0,0.0,3665.0,2032.0,577581.0,3,55,District of Columbia,11,38.8974,-77.0268
2021-05-05,12,11937.0,14164.0,0.0,106524.0,75361.0,17247808.0,79,4394,Florida,12,27.7663,-81.6868
2021-05-05,13,1031.0,1640.0,0.0,14799.0,7816.0,8113542.0,32,1018,Georgia,13,33.0406,-83.6431
2021-05-05,15,0.0,0.0,0.0,0.0,0.0,1116004.0,1,62,Hawaii,15,21.0943,-157.4983
2021-05-05,16,422.0,578.0,0.0,4853.0,2977.0,1338864.0,0,202,Idaho,16,44.2405,-114.4788
2021-05-05,17,5765.0,6969.0,0.0,65348.0,42408.0,9853946.0,33,2410,Illinois,17,40.3495,-88.9861
2021-05-05,18,2411.0,5151.0,0.0,55657.0,20788.0,5164245.0,10,1139,Indiana,18,39.8494,-86.2583
2021-05-05,19,743.0,1286.0,0.0,14446.0,6450.0,2428229.0,2,439,Iowa,19,42.0115,-93.2105
2021-05-05,20,452.0,697.0,0.0,7407.0,3001.0,2213064.0,14,484,Kansas,20,38.5266,-96.7265
2021-05-05,21,1143.0,2263.0,0.0,16200.0,7814.0,3464802.0,10,708,Kentucky,21,37.6681,-84.6701
2021-05-05,22,4.0,12.0,0.0,762.0,162.0,3561164.0,13,466,Louisiana,22,31.1695,-91.8678
2021-05-05,23,392.0,591.0,0.0,8209.0,4093.0,1095370.0,1,348,Maine,23,44.6939,-69.3819
2021-05-05,24,1977.0,3064.0,0.0,36128.0,19493.0,4710993.0,10,679,Maryland,24,39.0639,-76.8021
2021-05-05,25,2281.0,3004.0,0.0,46675.0,33334.0,5539703.0,12,1019,Massachusetts,25,42.2302,-71.5301
2021-05-05,26,2654.0,5010.0,0.0,48226.0,19339.0,7842924.0,45,3047,Michigan,26,43.3266,-84.5361
2021-05-05,27,2146.0,3015.0,0.0,39510.0,22191.0,4336475.0,17,1241,Minnesota,27,45.6945,-93.9002
2021-05-05,28,12.0,34.0,0.0,877.0,160.0,2277566.0,2,104,Mississippi,28,32.7416,-89.6787
2021-05-05,29,1606.0,3296.0,0.0,22018.0,8849.0,4766843.0,6,604,Missouri,29,38.4561,-92.2884
2021-05-05,30,171.0,231.0,0.0,2083.0,758.0,840190.0,1,140,Montana,30,46.9219,-110.4544
2021-05-05,31,140.0,421.0,0.0,4075.0,1554.0,1458334.0,1,239,Nebraska,31,41.1254,-98.2681
2021-05-05,32,384.0,843.0,0.0,7354.0,3185.0,2387517.0,7,373,Nevada,32,38.3135,-117.0554
2021-05-05,33,0.0,12.0,0.0,144.0,0.0,1104458.0,1,167,New Hampshire,33,43.4525,-71.5639
2021-05-05,34,3692.0,6414.0,0.0,52106.0,29378.0,6943612.0,49,2528,New Jersey,34,40.2989,-74.521
